Name of Organization,EIN,Classification,Nonprofit Tax Code Designation: 501(c)(3),FISCAL YEAR,Total Revenue,Total Functional Expenses,Net Income
BRIDGTON HOSPITAL,01-0130427,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,49375323.0,45992045.0,3383278.0
MAINE COAST REGIONAL HEALTH FACILITIES,01-0198331,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,81449460.0,86652122.0,
MOUNT DESERT ISLAND BIOLOGICAL LABORATORY,01-0202467,"Biological, Life Science Research (Science and Technology Research Institutes, Services)",Yes,2020.0,11246623.0,11298804.0,
HEART OF MAINE UNITED WAY,01-0211478,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2744404.0,2638878.0,105526.0
COMMUNITY HEALTH AND COUNSELING SERVICES,01-0211483,"Community Mental Health Center (Mental Health, Crisis Intervention)",Yes,2020.0,30912323.0,32371232.0,
CENTRAL MAINE MEDICAL CENTER,01-0211494,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,396713032.0,415280794.0,
JACKSON LABORATORY,01-0211513,"Biomedicine, Bioengineering Research (Medical Research)",Yes,2020.0,527504036.0,463558933.0,63945103.0
CEDARS NURSING CARE CENTER INC,01-0211517,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,12962404.0,13891155.0,
MERCY HOSPITAL,01-0211534,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,219669587.0,222518532.0,
COMMUNITY HEALTH & NURSING SERVICES,01-0211546,Nursing Services (General) (Health — General and Rehabilitative),Yes,2020.0,13216664.0,10914972.0,2301692.0
ST MARYS REGIONAL MEDICAL CENTER,01-0211551,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,218227466.0,230240267.0,
MOUNT DESERT ISLAND HOSPITAL,01-0211797,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,72870776.0,71362629.0,1508147.0
MOUNT DESERT NURSING ASSOCIATION,01-0211798,Nursing Services (General) (Health — General and Rehabilitative),Yes,2020.0,1173192.0,763510.0,409682.0
YORK HOSPITAL,01-0212444,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,186894821.0,198272162.0,
QUARRY HILL,01-0213976,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,11678638.0,12101467.0,
EASTPORT MEMORIAL HOSPITAL,01-0213979,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,2869940.0,2472446.0,397494.0
RUMFORD HOSPITAL,01-0215227,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,43666089.0,41301878.0,2364211.0
HATTIE A & FRED C LYNAM TRUST 64,01-0222218,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,545922.0,315451.0,
MILLINOCKET REGIONAL HOSPITAL,01-0223482,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,30901221.0,30788898.0,112323.0
ANDROSCOGGIN HOME HEALTH SERVICES INC,01-0227184,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,44574729.0,42731992.0,1842737.0
BLUE HILL MEMORIAL HOSPITAL INC,01-0227195,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,40461149.0,37597913.0,2863236.0
NORTHEAST HEARING & SPEECH CENTER INC,01-0228262,Rehabilitative Medical Services (E56Z) (Health — General and Rehabilitative),Yes,2020.0,2112852.0,1954326.0,158526.0
NORTHERN MAINE MEDICAL CENTER,01-0234189,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,64266752.0,62321976.0,1944776.0
MAINEHEALTH,01-0238552,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,2516583386.0,2396252206.0,120331180.0
UNITED WAY INC,01-0241767,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,9606119.0,9841376.0,
MORRISON CENTER,01-0243254,"Birth Defects and Genetic Diseases (G23Z) (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,15911961.0,15563732.0,348229.0
VNA HOME & HOSPICE,01-0246804,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,49774592.0,49618861.0,155731.0
NORTHERN MAINE GENERAL,01-0262323,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2021.0,10225267.0,9768463.0,456804.0
DOWN EAST COMMUNITY HOSPITAL,01-0263198,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,50791259.0,47808282.0,2982977.0
KENNEBEC VALLEY MENTAL HEALTH CENTER,01-0265559,"Mental Health Association, Multipurpose (Mental Health, Crisis Intervention)",Yes,2020.0,30842620.0,31499721.0,
ELMHURST INC,01-0266854,"Birth Defects and Genetic Diseases (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,4234228.0,4018207.0,216021.0
HARBOR HOUSE COMMUNITY SERVICE CENTER,01-0272150,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,1112120.0,996924.0,115196.0
HOPE ASSOCIATION,01-0274898,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2021.0,4629867.0,3931366.0,698501.0
CHILDRENS CENTER EARLY INTERVENTION AND FAMILY SUPPORT,01-0275447,"Birth Defects and Genetic Diseases (G23Z) (Diseases, Disorders, Medical Disciplines)",Yes,2021.0,6012929.0,3172580.0,2840349.0
AROOSTOOK MENTAL HEALTH SERVICES INC,01-0276859,"Mental Health Association, Multipurpose (Mental Health, Crisis Intervention)",Yes,2020.0,20417383.0,19106600.0,1310783.0
REDINGTON-FAIRVIEW GENERAL HOSPITAL,01-0284446,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,117528504.0,112024602.0,5503902.0
EAST GRAND HEALTH CENTER INC,01-0285920,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2021.0,996917.0,763138.0,233779.0
CRISIS AND COUNSELING CENTERS INC,01-0288363,"Hot Line, Crisis Intervention Services (Mental Health, Crisis Intervention)",Yes,2020.0,6659869.0,6774942.0,
TRI-COUNTY MENTAL HEALTH SERVICES,01-0316813,Health - General and Rehabilitative N.E.C.,Yes,2020.0,14465775.0,14516381.0,
FAMILY PLANNING ASSOCIATION OF MAINE INC,01-0317679,Family Planning Centers (Health — General and Rehabilitative),Yes,2020.0,8586059.0,8802674.0,
DAY ONE,01-0322532,"Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment (Mental Health, Crisis Intervention)",Yes,2020.0,3624569.0,4107013.0,
DELTA AMBULANCE CORP,01-0329792,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,8579674.0,8612177.0,
DOWNEAST HORIZONS INC,01-0331180,"Mental Health Association, Multipurpose (Mental Health, Crisis Intervention)",Yes,2020.0,8467417.0,7752960.0,714457.0
SAINT JOSEPHS MANOR,01-0339489,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,12699801.0,13429004.0,
MOTIVATIONAL SERVICES INC,01-0342515,"Mental Health Treatment - Multipurpose and N.E.C. (F34Z) (Mental Health, Crisis Intervention)",Yes,2021.0,11995351.0,11534655.0,460696.0
SEXUAL ASSAULT RESPONSE SERVICES OF SOUTHERN MAINE,01-0343943,"Rape Victim Services (Mental Health, Crisis Intervention)",Yes,2020.0,1061888.0,1052804.0,9084.0
BOOTHBAY REGION AMBULANCE SERVICE,01-0345660,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,1630920.0,1418269.0,212651.0
SACOPEE VALLEY HEALTH CENTER,01-0347381,"Health Treatment Facilities, Primarily Outpatient (E39Z) (Health — General and Rehabilitative)",Yes,2020.0,6899933.0,6307894.0,592039.0
ONPOINT HEALTH DATA,01-0349706,Unknown (E00L) (Health — General and Rehabilitative),Yes,2020.0,9571713.0,9053811.0,517902.0
MAINE CANCER FOUNDATION,01-0351077,Cancer Research (Medical Research),Yes,2020.0,4403735.0,2114426.0,2289309.0
